sort; вид
sort of; что-то вроде
substance; вещество
billion; миллиард
ash; пепел
whipp; взбить
matter decay; распад материи
matter; материя
decay; разлагаться
pollution; загрязнение
soft coal; каменный уголь
heat; тепло\ нагревать
moisture; влага
dense layer; плотный слой
dense; плотный
blanket; одеяло\ накрыть
particularly; оссобенно
tends to; как правило
dome-like shape; куполообразная форма
harmful; вредный
even deadly; даже смертельный
blurry; размыто
vision; зрение
irritate; раздражать
lung; лёгкое
eyes water; глаза слезятся
throat get sore; горло болит
cough; кашель
ill; больной\ нездоровый
sick; больной
linked; связанный
eczema; экзема
emphysema; эмфизема
cardiovascular difficulties; сердечно-сосудуистые проблемы
stomach; желудок
environment; окружающая среда\ обстановка
food crops; продовольственные культуры
suffer; страдать
paint; краска
peel; чистить
paint peel; краска отслаивается\ краска шелушится
obvious; очевидный
obviously; очевидно
reduce; уменьшать
atmospheric pollutants; загрязнители атмосферы
along with; вместе с 
visible evidence; видимые доказательства
until; до того как
lead; свинец
compounds; соединения
leaded gasoline; этилированный бензин
hydrocarbon; углеводород
monoxide; монооксид
some extent; какой-то степени
carry; нести
stir; размешать
given off; выделяться (вещество выделяется)
vegetation; растительность
rotting; гниение
salt particles; частицы соли
and so on; и так далее
get to; добраться до
however; тем не менее
review; обзор\ рассмотрение
combines; сочетает в себе
fuel; топливо
contain; содержать
hydrogen; водород
carbon; углерод
various chemical combinations; различные химические комбинации
during; в течение
during combustion; во время горения
oxygen unites; кислород объединяет
unite; объединяться
carbon monoxide; монооксид углерода\ угарный газ
in addition; кроме того
sulfur; сера
burn; гореть
nitrogen; азот
oxygen; кислород
simply particles; простые частицы
unburned fuel; несгоревшее топливо
soot; сажа
altogether; вообще
estimate; оценить
enter the air; выйти в воздух\ выбросить в воздух
laws; законы
aimed at; направленный на
consider; учитывать
basin; бассейн
inhabitants; жители
surround; окружать
mountaints; горы
blows out; выдувает
blow out; задуть
sweeps away; сметает
stagnant; застойный
blow away; сдуть
build up; наращивать
thick; толстый
smelly; вонючий
location; место расположения
lead in; привести в
measures; меры
unrestricted; неограниченный
incinerators; мусоросжигательные заводы
outlawed; вне закона
forced; вынужденный
combustion; горение
chimneys; дымоходы
passed; прошедший
emission; эмиссия
significantly; существенно
give off; выделять\ испускать
fuel tank; топливный бак
carburetor; карбюратор
crankcase; картер
tail pipe; выхлопная труба
consist; состоять
gasoline vapors; пары бензина
vapors; пары
partly; частично
air-fuel mixture; топливовоздушная смесь
mixture; смесь
piston rings; поршневые кольца
